Date,Value,Open,Close,High,Low
28/12/11,42310260.0,82.0,41.0,82.0,41.0
29/12/11,30750.0,61.5,61.5,61.5,61.5
03/02/12,1834750.0,82.0,92.25,92.25,82.0
06/02/12,278500.0,138.3,137.0,138.3,135.0
05/03/12,289500.0,140.0,145.0,195.0,140.0
06/03/12,85320.0,160.0,192.0,199.0,160.0
07/03/12,3600.0,180.0,180.0,180.0,180.0
08/03/12,35837.0,121.1,145.0,145.0,121.0
15/03/12,3000.0,150.0,150.0,150.0,150.0
16/03/12,39900.0,170.0,220.0,220.0,170.0
19/03/12,25000.0,250.0,250.0,250.0,250.0
25/04/12,59960.0,299.8,299.8,299.8,299.8
26/04/12,38700.0,300.0,290.0,300.0,290.0
10/05/12,25990.0,145.0,279.0,279.0,145.0
10/07/12,26450.0,250.0,279.0,279.0,250.0
23/07/12,94830.0,160.0,180.0,180.0,141.0
24/07/12,37736.0,150.1,156.0,179.0,150.1
25/07/12,24456.0,156.0,140.0,156.0,140.0
26/07/12,8460.0,141.0,141.0,141.0,141.0
06/08/12,1395.0,139.5,139.5,139.5,139.5
13/08/12,23650.0,169.0,169.0,169.0,168.0
14/08/12,14000.0,100.0,100.0,100.0,100.0
16/08/12,19821.0,101.1,90.0,101.1,90.0
24/08/12,2400.0,120.0,120.0,120.0,120.0
12/09/12,11001.0,100.1,100.0,100.1,100.0
13/09/12,58005.0,100.0,100.0,100.1,100.0
03/10/12,8001.0,80.1,80.0,80.1,80.0
09/10/12,1600.0,80.0,80.0,80.0,80.0
17/10/12,5600.0,80.0,80.0,80.0,80.0
31/10/12,8950.5,99.45,99.45,99.45,99.45
09/11/12,2700.0,90.0,90.0,90.0,90.0
04/12/12,1030.0,103.0,103.0,103.0,103.0
19/12/12,11029.0,100.0,102.9,102.9,100.0
04/01/13,20600.0,120.0,125.0,125.0,115.0
08/01/13,1865.0,62.5,124.0,124.0,62.5
10/01/13,1460.0,73.0,73.0,73.0,73.0
21/01/13,2080.0,104.0,104.0,104.0,104.0
22/03/13,3400.0,85.0,85.0,85.0,85.0
06/05/13,7305.0,73.05,73.05,73.05,73.05
07/05/13,10000.0,100.0,100.0,100.0,100.0
28/05/13,732.5,73.25,73.25,73.25,73.25
21/06/13,6564.0,109.8,109.8,109.8,109.0
24/06/13,1098.0,109.8,109.8,109.8,109.8
26/06/13,1464.0,73.2,73.2,73.2,73.2
28/06/13,2190.0,73.0,73.0,73.0,73.0
09/07/13,3029500.0,73.0,73.0,73.0,73.0
23/08/13,10081300.0,73.0,73.0,73.0,73.0
11/09/13,2190.0,73.0,73.0,73.0,73.0
02/10/13,1095.0,109.5,109.5,109.5,109.5
03/10/13,3600.0,120.0,120.0,120.0,120.0
07/10/13,44045.0,138.0,173.0,180.0,138.0
08/10/13,40410.0,173.0,246.0,246.0,173.0
09/10/13,2280.0,228.0,228.0,228.0,228.0
10/10/13,8070.0,194.0,219.0,219.0,194.0
11/10/13,23650.0,200.0,129.0,200.0,129.0
13/11/13,10783.0,148.3,190.0,190.0,148.3
28/11/13,19470.0,189.0,215.0,220.0,189.0
29/11/13,2580.0,258.0,258.0,258.0,258.0
05/12/13,20000.0,200.0,200.0,200.0,200.0
06/12/13,16000.0,200.0,200.0,200.0,200.0
12/12/13,4200.0,210.0,210.0,210.0,210.0
16/01/14,1075.0,107.5,107.5,107.5,107.5
17/01/14,2600.0,130.0,130.0,130.0,130.0
20/01/14,16400.0,130.0,140.0,140.0,130.0
21/01/14,11000.0,120.0,130.0,130.0,120.0
24/01/14,1500.0,150.0,150.0,150.0,150.0
29/01/14,3000.0,150.0,150.0,150.0,150.0
30/01/14,2400.0,120.0,120.0,120.0,120.0
04/02/14,1200.0,120.0,120.0,120.0,120.0
05/02/14,1200.0,120.0,120.0,120.0,120.0
17/02/14,5800.0,80.0,120.0,120.0,80.0
17/03/14,8497.5,100.0,100.0,100.0,85.0
19/03/14,10452.0,120.0,115.0,129.9,102.0
07/04/14,1000.0,100.0,100.0,100.0,100.0
08/04/14,3111.0,103.7,103.7,103.7,103.7
28/04/14,12480.0,104.0,104.0,104.0,104.0
13/05/14,3151.0,70.1,85.0,85.0,70.1
03/06/14,7200.5,72.05,72.0,72.05,72.0
04/06/14,3499.5,85.0,94.95,94.95,85.0
05/06/14,950.0,95.0,95.0,95.0,95.0
19/06/14,53845.0,115.0,142.5,142.5,115.0
20/06/14,76034.0,198.0,213.6,213.6,198.0
23/06/14,108632.0,320.4,298.0,320.4,290.0
24/06/14,130308.0,445.0,299.0,445.0,299.0
25/06/14,577105.0,180.0,177.0,180.0,150.0
26/06/14,146722.0,180.0,181.0,181.3,180.0
27/06/14,133420.0,181.0,177.0,181.0,177.0
30/06/14,44620.0,177.0,170.0,177.0,170.0
03/07/14,3420.0,170.0,172.0,172.0,170.0
08/07/14,17390.0,174.0,173.0,174.0,173.0
10/07/14,6460.0,173.0,150.0,173.0,150.0
23/07/14,60000.0,100.0,100.0,100.0,100.0
30/07/14,2400.0,120.0,120.0,120.0,120.0
31/07/14,20400.0,120.0,120.0,120.0,120.0
04/08/14,1200.0,120.0,120.0,120.0,120.0
07/08/14,90000.0,180.0,180.0,180.0,180.0
08/08/14,95055.0,180.0,180.0,185.8,180.0
11/08/14,2325.0,116.0,116.5,116.5,116.0
12/08/14,8522.0,162.0,121.1,163.0,121.1
13/08/14,23224.0,122.2,128.5,128.5,121.1
14/08/14,42107.0,161.0,162.0,162.0,161.0
15/08/14,1620.0,162.0,162.0,162.0,162.0
18/08/14,8100.0,162.0,162.0,162.0,162.0
20/08/14,4200.0,140.0,140.0,140.0,140.0
22/08/14,12601.0,140.1,140.0,140.1,140.0
26/08/14,9872.0,141.0,141.0,141.1,141.0
27/08/14,16820.0,140.0,141.0,141.0,140.0
28/08/14,1410.0,141.0,141.0,141.0,141.0
01/09/14,4200.0,140.0,140.0,140.0,140.0
02/09/14,8750.0,125.0,125.0,125.0,125.0
05/09/14,42510.0,126.0,125.0,126.0,125.0
09/09/14,1250.0,125.0,125.0,125.0,125.0
10/09/14,5000.0,125.0,125.0,125.0,125.0
12/09/14,6250.0,125.0,125.0,125.0,125.0
16/09/14,2500.0,125.0,125.0,125.0,125.0
22/09/14,2500.0,125.0,125.0,125.0,125.0
24/09/14,67080.0,125.0,100.0,125.0,100.0
25/09/14,2840.0,144.0,140.0,144.0,140.0
29/09/14,22398.0,140.0,140.0,140.0,139.9
01/10/14,4470.0,149.0,149.0,149.0,149.0
31/10/14,1000.0,100.0,100.0,100.0,100.0
05/11/14,2000.0,100.0,100.0,100.0,100.0
07/11/14,22000.0,100.0,100.0,100.0,100.0
12/11/14,10000.0,100.0,100.0,100.0,100.0
20/11/14,19790.0,102.0,120.0,120.0,102.0
26/11/14,8050.0,115.0,115.0,115.0,115.0
28/11/14,3630.0,121.0,121.0,121.0,121.0
01/12/14,30000.0,120.0,120.0,120.0,120.0
03/12/14,12000.0,120.0,120.0,120.0,120.0
09/01/15,2400.0,120.0,120.0,120.0,120.0
30/01/15,7254.0,75.1,85.0,85.0,75.1
02/02/15,1000.0,100.0,100.0,100.0,100.0
12/02/15,5700.0,95.0,95.0,95.0,95.0
06/03/15,8980.0,100.0,100.0,100.0,99.0
17/03/15,22000.0,100.0,100.0,100.0,100.0
06/04/15,162100.0,90.0,150.0,150.0,90.0
07/04/15,991410.0,225.0,225.0,225.0,212.0
08/04/15,918392.0,250.0,243.0,300.0,225.0
