Date,Value,Open,Close,High,Low
03/08/09,22445200.0,27.5,27.0,27.5,27.0
04/08/09,22890550.0,27.5,27.0,27.5,26.5
06/08/09,17904300.0,27.5,27.0,27.5,27.0
07/08/09,15692350.0,27.0,26.5,27.0,26.5
10/08/09,12573900.0,27.0,27.0,27.0,27.0
11/08/09,1566000.0,27.0,27.0,27.0,27.0
12/08/09,6107400.0,27.0,27.0,27.0,27.0
13/08/09,32176350.0,27.5,28.0,28.5,27.5
14/08/09,8933200.0,28.5,28.0,28.5,28.0
17/08/09,7287550.0,28.0,27.5,28.0,27.5
18/08/09,8613900.0,27.0,27.0,27.0,26.5
19/08/09,6161650.0,27.0,27.5,28.0,27.0
20/08/09,25284650.0,28.0,27.0,28.0,27.0
24/08/09,34982600.0,27.5,28.5,29.0,27.5
25/08/09,9674800.0,28.5,29.0,29.0,28.5
26/08/09,17421350.0,29.0,30.0,30.0,29.0
03/09/09,6840350.0,29.5,29.5,29.5,29.0
04/09/09,8351500.0,30.0,30.0,30.5,30.0
16/09/09,20398300.0,30.5,30.0,30.5,30.0
17/09/09,18140700.0,30.5,30.5,30.5,30.0
18/09/09,5147750.0,30.5,31.5,31.5,30.5
22/09/09,2314900.0,32.0,31.0,32.0,31.0
23/09/09,7068450.0,31.0,31.0,31.5,31.0
30/09/09,446550.0,30.0,30.0,30.0,29.5
01/10/09,2045200.0,29.5,30.0,30.0,29.5
02/10/09,4968850.0,30.0,29.5,30.0,29.5
05/10/09,4643750.0,29.5,30.0,30.0,29.5
06/10/09,3048100.0,30.5,30.5,30.5,30.0
07/10/09,7932800.0,30.5,31.0,31.0,30.5
08/10/09,15013150.0,30.5,32.0,32.0,30.5
09/10/09,11162600.0,32.0,33.0,33.0,32.0
12/10/09,7589550.0,32.5,33.0,33.5,32.5
13/10/09,3624700.0,33.5,33.0,33.5,33.0
14/10/09,2437500.0,32.5,32.5,32.5,32.5
15/10/09,7657650.0,33.0,33.5,33.5,33.0
16/10/09,2431500.0,33.0,32.5,33.0,32.5
19/10/09,318550.0,32.5,33.0,33.0,32.5
20/10/09,6377500.0,33.0,33.0,33.5,33.0
21/10/09,4506850.0,33.0,32.5,33.0,32.5
22/10/09,13240800.0,32.5,33.0,33.0,32.5
23/10/09,10593250.0,33.0,33.0,33.5,33.0
26/10/09,3456100.0,33.0,33.5,33.5,33.0
27/10/09,20321850.0,34.0,34.0,34.0,33.0
28/10/09,2512250.0,34.0,34.0,34.0,33.5
29/10/09,13490450.0,33.5,33.5,33.5,33.5
30/10/09,10113500.0,34.0,34.5,35.0,34.0
03/11/09,8840450.0,34.5,34.5,35.0,34.5
04/11/09,7322000.0,35.0,35.0,35.0,35.0
05/11/09,3410400.0,35.5,36.0,36.0,35.5
06/11/09,9270450.0,36.0,36.5,36.5,36.0
09/11/09,2851200.0,36.5,36.0,36.5,36.0
10/11/09,6742750.0,36.5,36.5,37.5,36.5
11/11/09,4926600.0,36.5,36.0,36.5,36.0
15/12/09,1083600.0,36.0,36.0,36.0,36.0
16/12/09,2739000.0,36.0,36.5,37.0,36.0
17/12/09,1728100.0,36.5,37.0,37.0,36.5
18/12/09,4252300.0,37.0,37.0,37.0,36.5
21/12/09,8337750.0,37.0,37.0,37.0,36.5
22/12/09,9366000.0,36.5,36.5,37.0,36.5
23/12/09,9769800.0,37.0,37.0,37.0,36.5
29/12/09,1720550.0,37.5,37.0,37.5,37.0
04/01/10,3540500.0,36.5,36.5,36.5,36.5
05/01/10,7070850.0,36.5,37.0,37.0,36.5
06/01/10,5533600.0,37.0,37.5,37.5,37.0
07/01/10,942500.0,37.5,37.5,37.5,37.0
08/01/10,5003450.0,37.5,37.0,37.5,37.0
11/01/10,2622500.0,37.0,37.5,37.5,37.0
12/01/10,3398400.0,37.5,37.0,37.5,37.0
13/01/10,7000750.0,37.0,36.5,37.0,36.5
14/01/10,3098850.0,36.5,36.5,36.5,36.5
15/01/10,4067250.0,36.5,37.5,37.5,36.5
18/01/10,8489050.0,37.5,38.0,38.0,37.5
19/01/10,1966100.0,38.0,37.5,38.0,37.5
20/01/10,4409300.0,37.5,38.0,38.0,37.5
21/01/10,8286300.0,38.0,38.0,38.0,37.5
22/01/10,10348900.0,37.5,39.0,39.0,37.5
25/01/10,5180250.0,39.0,38.0,39.0,38.0
26/01/10,23012700.0,39.0,38.5,39.0,38.5
27/01/10,6410400.0,38.5,37.5,38.5,37.5
28/01/10,26099600.0,38.5,38.5,38.5,38.0
29/01/10,12918100.0,38.5,38.0,38.5,38.0
01/02/10,5288000.0,38.5,38.0,38.5,38.0
02/02/10,4133750.0,38.5,38.0,38.5,38.0
03/02/10,6131300.0,38.0,38.0,38.5,38.0
04/02/10,4399100.0,38.0,38.5,38.5,38.0
05/02/10,37685300.0,37.5,37.5,38.0,37.5
08/02/10,1713650.0,37.5,37.5,37.5,37.0
09/02/10,5942200.0,37.0,37.0,37.0,37.0
10/02/10,25462100.0,37.0,37.0,37.5,37.0
11/02/10,22873400.0,37.0,37.0,37.0,37.0
08/03/10,7362800.0,37.0,37.0,37.0,36.5
12/03/10,1587300.0,37.0,36.5,37.0,36.5
15/03/10,14824600.0,37.0,37.5,37.5,37.0
16/03/10,2772250.0,38.0,38.0,38.0,37.5
17/03/10,1463000.0,38.0,38.0,38.0,38.0
31/03/10,9465550.0,40.5,41.0,41.0,40.5
20/04/10,3673800.0,42.0,42.0,42.0,41.5
21/04/10,8411100.0,41.5,42.0,42.5,41.5
22/04/10,26662550.0,42.0,42.5,43.0,42.0
23/04/10,3296500.0,42.5,42.5,42.5,42.0
29/04/10,11040250.0,44.0,43.5,44.0,43.0
30/04/10,20571650.0,44.5,45.5,45.5,44.5
04/05/10,10787000.0,45.5,45.0,45.5,44.5
05/05/10,9774050.0,43.0,41.0,43.0,40.5
13/05/10,4856750.0,42.5,43.0,43.0,42.0
14/05/10,6148650.0,42.5,43.5,43.5,42.5
17/05/10,3326400.0,43.0,42.0,43.0,42.0
18/05/10,272600.0,43.5,42.5,43.5,42.0
19/05/10,2369300.0,42.0,41.5,42.0,41.5
20/05/10,5320600.0,41.5,41.0,41.5,41.0
21/05/10,4769150.0,40.5,40.5,40.5,40.0
24/05/10,829500.0,40.0,41.0,41.5,40.0
25/05/10,1764950.0,41.0,39.5,41.0,39.5
26/05/10,7268550.0,39.5,39.5,40.0,39.5
27/05/10,7181100.0,39.5,39.5,39.5,39.5
28/05/10,1303500.0,40.0,40.0,40.5,40.0
31/05/10,5921350.0,40.5,41.0,41.0,40.0
01/06/10,7852100.0,41.0,41.5,41.5,41.0
02/06/10,1768850.0,41.5,41.0,41.5,41.0
03/06/10,3154150.0,41.5,41.5,42.0,41.5
04/06/10,6204050.0,41.5,41.5,41.5,41.0
07/06/10,3280000.0,41.0,41.0,41.0,41.0
08/06/10,5465300.0,41.0,41.0,41.0,41.0
09/06/10,3921600.0,41.5,40.5,41.5,40.5
10/06/10,247050.0,40.5,40.5,40.5,40.5
11/06/10,4779050.0,41.0,39.5,41.0,39.5
15/06/10,1607850.0,40.5,40.5,40.5,40.5
16/06/10,6235100.0,41.0,41.0,41.0,40.5
21/06/10,4743700.0,41.0,41.0,41.0,41.0
22/06/10,6582550.0,41.0,40.5,41.5,40.5
23/06/10,3587050.0,40.5,40.5,41.0,40.5
24/06/10,1199900.0,40.5,41.0,41.0,40.5
25/06/10,18390350.0,40.5,41.0,41.0,40.5
28/06/10,11028850.0,41.0,42.5,42.5,41.0
29/06/10,8817450.0,43.0,42.5,43.0,42.0
01/07/10,539600.0,42.0,41.5,42.0,41.5
02/07/10,2577150.0,41.5,41.5,41.5,41.5
06/07/10,2722400.0,41.0,41.0,41.0,41.0
07/07/10,8227650.0,42.0,42.0,42.0,41.5
08/07/10,10924400.0,42.0,42.0,42.5,42.0
09/07/10,4771350.0,42.5,42.0,42.5,42.0
13/07/10,17587600.0,43.5,43.5,44.0,43.0
14/07/10,19691200.0,43.5,43.5,44.0,43.5
15/07/10,13370400.0,43.5,43.0,43.5,43.0
16/07/10,4528000.0,43.0,43.0,43.5,43.0
19/07/10,9773900.0,43.0,43.0,43.0,43.0
20/07/10,36609900.0,43.0,43.5,44.0,43.0
21/07/10,36255550.0,44.0,45.5,46.0,44.0
22/07/10,28570250.0,45.5,45.0,46.0,45.0
23/07/10,23476550.0,45.0,46.0,46.5,45.0
20/09/10,29561916.0,51.25,52.4,52.4,51.25
21/09/10,15094662.0,52.3,51.9,53.0,51.9
22/09/10,22362621.0,52.5,51.95,52.5,51.5
23/09/10,44713988.5,51.9,52.75,52.75,51.9
24/09/10,35902943.0,52.95,53.25,53.75,52.95
27/09/10,21344927.5,53.25,53.3,53.5,53.05
28/09/10,14920818.5,53.25,52.85,53.25,52.8
29/09/10,28576407.5,52.85,52.9,52.95,52.85
30/09/10,32133258.5,53.0,52.8,53.0,52.8
01/10/10,4675389.5,52.05,53.0,53.5,52.05
04/10/10,28355015.5,53.0,53.85,55.0,53.0
05/10/10,27856256.5,54.5,56.2,56.25,54.5
06/10/10,12898276.0,56.2,56.05,56.5,56.0
07/10/10,6213082.5,56.2,55.4,56.2,55.4
08/10/10,3933802.5,55.4,55.75,55.8,55.4
12/10/10,52677337.5,56.5,56.0,56.5,55.95
13/10/10,19457738.0,56.0,56.0,56.0,55.8
14/10/10,15309660.0,56.0,56.0,56.05,56.0
15/10/10,28653342.5,56.0,56.3,56.5,56.0
18/10/10,27844381.0,56.45,56.95,57.0,56.45
19/10/10,18674531.0,57.0,57.25,57.45,57.0
20/10/10,17733436.5,57.05,57.55,57.55,57.05
21/10/10,4962660.0,57.55,59.0,59.0,57.55
22/10/10,26069454.0,59.2,61.0,61.0,59.2
26/10/10,25212518.5,61.3,61.9,62.25,61.3
27/10/10,6339590.0,62.5,62.5,62.75,62.4
28/10/10,17774450.0,62.5,61.0,62.5,60.0
29/10/10,4571788.5,61.0,60.9,61.5,60.85
02/11/10,3433028.0,61.0,61.6,61.8,61.0
03/11/10,11670470.5,62.45,62.3,62.45,62.0
04/11/10,7159241.5,62.5,62.75,62.75,62.3
08/11/10,27042228.5,64.0,65.0,65.0,63.9
09/11/10,9055710.5,65.25,65.0,65.25,64.5
10/11/10,29471888.5,65.0,62.05,65.15,61.0
11/11/10,27715183.5,63.0,62.0,63.75,61.3
12/11/10,18210321.5,62.0,61.5,62.3,61.0
15/11/10,8622382.0,61.1,61.9,62.0,61.1
17/11/10,16874871.5,61.0,61.95,62.25,61.0
18/11/10,11800017.5,62.0,61.7,62.0,61.5
19/11/10,9345657.0,61.7,61.95,62.3,61.7
22/11/10,5497624.5,62.0,62.0,62.5,61.9
23/11/10,14276892.0,61.8,62.0,62.2,61.8
24/11/10,6081419.0,61.2,61.7,61.7,61.2
25/11/10,26814034.0,61.7,61.0,62.0,61.0
26/11/10,23377583.5,61.5,58.4,61.5,58.2
30/11/10,25629952.0,58.0,57.7,58.0,57.5
01/12/10,20433239.5,57.8,57.85,58.0,57.8
02/12/10,13866333.0,58.2,58.25,58.95,58.0
03/12/10,3314065.0,59.5,58.5,59.5,58.3
06/12/10,6992631.0,58.5,59.0,59.0,58.5
07/12/10,11050343.0,60.0,59.0,60.0,59.0
08/12/10,3262662.5,59.5,59.0,59.95,58.8
16/12/10,8846977.0,59.5,59.4,59.55,59.35
22/12/10,3842355.0,59.2,60.0,60.5,59.2
23/12/10,23760.0,60.0,59.2,60.0,59.2
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
28/12/10,4714185.0,59.05,60.0,60.0,59.05
29/12/10,1013448.0,59.7,59.7,59.8,59.6
29/12/10,1013448.0,59.7,59.7,59.8,59.6
