Date,Value,Open,Close,High,Low
03/08/09,28125700.0,8.8,8.9,8.9,8.8
04/08/09,51204600.0,8.9,9.1,9.3,8.9
06/08/09,24677000.0,9.1,9.1,9.1,9.0
07/08/09,19494600.0,9.1,9.0,9.1,9.0
10/08/09,7916900.0,9.0,9.1,9.2,9.0
11/08/09,39223500.0,9.1,9.3,9.4,9.1
12/08/09,10440300.0,9.3,9.3,9.4,9.3
13/08/09,9451300.0,9.3,9.4,9.5,9.3
14/08/09,4382300.0,9.4,9.4,9.5,9.3
17/08/09,21684700.0,9.4,9.2,9.4,9.1
18/08/09,26055000.0,9.0,9.0,9.0,8.9
19/08/09,15758700.0,9.0,9.2,9.2,9.0
20/08/09,7437000.0,9.3,9.3,9.3,9.2
24/08/09,14088600.0,9.3,9.6,9.8,9.3
25/08/09,18657450.0,9.7,10.0,10.5,9.7
26/08/09,14579750.0,10.0,10.25,10.5,10.0
03/09/09,17262225.0,10.5,10.5,10.5,10.25
04/09/09,28830075.0,10.5,10.5,10.75,10.5
16/09/09,68917225.0,10.5,10.75,11.25,10.5
17/09/09,26337275.0,10.75,11.0,11.0,10.75
18/09/09,24303850.0,11.0,11.0,11.0,10.75
22/09/09,7443700.0,11.0,11.0,11.0,11.0
23/09/09,49310300.0,10.75,11.25,11.25,10.75
30/09/09,383250400.0,10.75,11.0,11.25,10.75
01/10/09,81250275.0,11.0,11.5,11.5,10.75
02/10/09,38859850.0,11.0,11.25,11.25,11.0
05/10/09,691750.0,11.25,11.25,11.25,11.0
06/10/09,14708325.0,11.25,11.5,11.5,11.25
07/10/09,38021575.0,11.75,11.75,11.75,11.5
08/10/09,9202300.0,11.75,11.75,11.75,11.5
09/10/09,20789475.0,11.75,11.25,11.75,11.25
12/10/09,85693450.0,11.25,11.0,11.5,11.0
13/10/09,26768025.0,11.75,11.25,11.75,11.25
14/10/09,8288025.0,11.25,11.5,11.5,11.25
15/10/09,10940675.0,11.5,11.5,11.75,11.5
16/10/09,7878800.0,11.5,11.25,11.5,11.25
19/10/09,11960200.0,11.25,11.5,11.5,11.25
20/10/09,37580350.0,11.75,11.75,12.0,11.75
21/10/09,23843150.0,11.75,11.75,12.0,11.75
22/10/09,37183350.0,11.75,11.75,11.75,11.5
23/10/09,30365200.0,11.75,12.0,12.5,11.75
26/10/09,126171175.0,12.0,12.0,12.25,11.75
27/10/09,10139175.0,12.0,12.0,12.25,12.0
28/10/09,30333825.0,12.25,12.5,12.5,12.0
29/10/09,35019400.0,12.25,12.25,12.25,12.0
30/10/09,14679350.0,12.25,12.5,12.75,12.25
03/11/09,19720450.0,12.5,12.25,12.5,12.0
04/11/09,35246100.0,12.0,12.0,12.25,12.0
05/11/09,41158575.0,12.25,12.25,12.25,12.0
06/11/09,41311625.0,12.25,12.25,12.25,12.0
09/11/09,5036350.0,12.25,12.5,12.5,12.0
10/11/09,14416050.0,12.5,12.75,12.75,12.25
11/11/09,4802250.0,12.75,12.75,12.75,12.5
15/12/09,23737375.0,15.5,15.75,15.75,15.25
16/12/09,28420425.0,15.75,15.5,15.75,15.25
17/12/09,30923325.0,15.25,16.0,16.0,15.25
18/12/09,24767100.0,16.0,15.75,16.0,15.75
21/12/09,22366800.0,15.75,16.25,16.25,15.75
22/12/09,5718400.0,16.5,15.75,16.5,15.75
23/12/09,18505550.0,15.75,16.0,16.25,15.75
29/12/09,39054925.0,16.0,16.25,16.25,16.0
04/01/10,4453025.0,16.25,15.75,16.25,15.75
05/01/10,3635225.0,15.75,15.5,16.0,15.5
06/01/10,153255600.0,15.75,17.0,17.5,15.75
07/01/10,44983325.0,17.0,17.25,17.5,17.0
08/01/10,91861650.0,17.25,18.0,18.0,17.25
11/01/10,77512800.0,18.0,18.25,18.75,17.75
12/01/10,43440750.0,18.5,18.25,18.5,18.0
13/01/10,21517025.0,18.0,18.0,18.25,17.75
14/01/10,120809650.0,18.0,17.75,18.0,17.5
15/01/10,93728875.0,17.75,18.25,18.5,17.75
18/01/10,45844375.0,18.25,18.0,18.25,18.0
19/01/10,17506725.0,18.25,17.75,18.25,17.75
20/01/10,50856225.0,18.0,17.5,18.0,17.5
21/01/10,65152125.0,17.25,17.5,17.5,17.25
22/01/10,29824300.0,17.0,17.25,18.0,17.0
