Date,Value,Open,Close,High,Low
03/04/23,47803680.0,2.42,2.9,3.3,2.27
04/04/23,35884380.0,2.79,2.61,3.11,2.61
05/04/23,9379480.0,2.7,2.45,2.75,2.43
11/04/23,1276860.0,2.52,2.41,2.52,2.4
12/04/23,4565170.0,2.39,2.45,2.47,2.37
13/04/23,1146270.0,2.43,2.46,2.55,2.4
13/04/23,1146270.0,2.43,2.46,2.55,2.4
14/04/23,324560.0,2.52,2.43,2.52,2.42
14/04/23,324560.0,2.52,2.43,2.52,2.42
17/04/23,2175140.0,2.45,2.39,2.5,2.39
18/04/23,882230.0,2.45,2.4,2.45,2.4
19/04/23,1231060.0,2.43,2.39,2.43,2.39
20/04/23,140830.0,2.39,2.39,2.39,2.38
24/04/23,643140.0,2.39,2.4,2.4,2.39
25/04/23,1818890.0,2.4,2.39,2.4,2.39
26/04/23,1100250.0,2.38,2.38,2.4,2.38
27/04/23,4027270.0,2.41,2.39,2.41,2.35
28/04/23,539230.0,2.36,2.39,2.4,2.35
02/05/23,2392390.0,2.39,2.39,2.39,2.39
03/05/23,18290630.0,2.4,2.36,2.4,2.35
04/05/23,900130.0,2.32,2.13,2.32,2.11
05/05/23,714410.0,2.13,2.26,2.3,2.12
05/05/23,714410.0,2.13,2.26,2.3,2.12
05/05/23,714410.0,2.13,2.26,2.3,2.12
08/05/23,32050.0,2.25,2.32,2.32,2.25
09/05/23,184300.0,2.31,2.33,2.34,2.31
10/05/23,268430.0,2.33,2.18,2.33,2.13
11/05/23,186220.0,2.23,2.15,2.23,2.15
12/05/23,130650.0,2.14,2.14,2.15,2.14
15/05/23,48190.0,2.19,2.19,2.2,2.19
16/05/23,416940.0,2.17,2.18,2.18,2.1
17/05/23,67190.0,2.17,2.16,2.18,2.16
18/05/23,134400.0,2.1,2.15,2.15,2.09
19/05/23,199140.0,2.16,2.24,2.25,2.15
22/05/23,124040.0,2.09,2.17,2.17,2.09
23/05/23,340870.0,2.17,2.1,2.17,2.1
24/05/23,61330.0,2.13,2.13,2.13,2.11
25/05/23,47300.0,2.23,2.15,2.23,2.14
26/05/23,43490.0,2.22,2.2,2.22,2.13
29/05/23,90580.0,2.15,2.15,2.2,2.15
30/05/23,409340.0,2.12,2.14,2.17,2.1
