Date,Value,Open,Close,High,Low
03/08/09,340300.0,1.08,1.08,1.1,1.08
04/08/09,1570800.0,1.1,1.1,1.1,1.1
06/08/09,933100.0,1.1,1.08,1.12,1.08
07/08/09,599000.0,1.1,1.08,1.1,1.08
10/08/09,745600.0,1.08,1.08,1.1,1.08
11/08/09,576120.0,1.08,1.1,1.1,1.08
12/08/09,79640.0,1.1,1.08,1.1,1.08
13/08/09,353760.0,1.08,1.08,1.1,1.08
14/08/09,578800.0,1.08,1.1,1.1,1.08
17/08/09,313200.0,1.08,1.08,1.08,1.08
18/08/09,1078160.0,1.08,1.06,1.08,1.04
19/08/09,655080.0,1.06,1.06,1.06,1.06
20/08/09,781420.0,1.06,1.06,1.08,1.06
24/08/09,2586600.0,1.08,1.08,1.08,1.08
25/08/09,1539000.0,1.08,1.08,1.08,1.08
26/08/09,1209940.0,1.1,1.08,1.1,1.08
03/09/09,873360.0,1.12,1.12,1.14,1.12
04/09/09,7739760.0,1.12,1.1,1.12,1.1
16/09/09,1357400.0,1.1,1.1,1.1,1.1
17/09/09,583000.0,1.1,1.1,1.1,1.1
18/09/09,2173620.0,1.08,1.08,1.08,1.06
22/09/09,221400.0,1.08,1.08,1.08,1.08
23/09/09,1164080.0,1.1,1.12,1.12,1.08
30/09/09,16200.0,1.08,1.08,1.08,1.08
01/10/09,1705000.0,1.1,1.1,1.1,1.1
02/10/09,330000.0,1.1,1.1,1.1,1.1
05/10/09,101200.0,1.1,1.1,1.1,1.1
06/10/09,122100.0,1.1,1.1,1.1,1.1
07/10/09,209000.0,1.1,1.1,1.1,1.1
08/10/09,2804080.0,1.1,1.14,1.14,1.1
09/10/09,757140.0,1.12,1.12,1.14,1.12
12/10/09,425000.0,1.12,1.1,1.12,1.1
13/10/09,310280.0,1.1,1.12,1.12,1.1
14/10/09,190400.0,1.12,1.12,1.12,1.12
15/10/09,292460.0,1.12,1.12,1.14,1.12
16/10/09,2200.0,1.1,1.1,1.1,1.1
19/10/09,8685520.0,1.12,1.22,1.28,1.12
20/10/09,4760000.0,1.2,1.2,1.2,1.16
21/10/09,575040.0,1.2,1.16,1.2,1.16
22/10/09,2273900.0,1.16,1.16,1.18,1.14
23/10/09,487340.0,1.18,1.18,1.18,1.18
26/10/09,314660.0,1.16,1.18,1.18,1.16
27/10/09,1177420.0,1.18,1.18,1.18,1.16
28/10/09,60320.0,1.16,1.16,1.16,1.16
29/10/09,107400.0,1.16,1.16,1.16,1.14
30/10/09,1651340.0,1.16,1.2,1.22,1.16
03/11/09,391760.0,1.18,1.18,1.18,1.18
04/11/09,38400.0,1.2,1.2,1.2,1.2
05/11/09,1310400.0,1.2,1.2,1.2,1.2
06/11/09,655220.0,1.2,1.2,1.22,1.2
09/11/09,513340.0,1.18,1.2,1.2,1.18
10/11/09,4505800.0,1.2,1.24,1.24,1.2
11/11/09,6900680.0,1.24,1.32,1.36,1.24
15/12/09,2123380.0,1.28,1.3,1.3,1.28
16/12/09,1107600.0,1.3,1.3,1.3,1.3
