Date,Value,Open,Close,High,Low
21/05/12,8083300.0,2.51,2.99,5.5,2.5
22/05/12,7485090.0,2.9,2.3,3.01,1.5
23/05/12,684350.0,2.3,1.76,2.3,1.72
24/05/12,13427680.0,1.74,1.97,2.3,1.7
25/05/12,1310120.0,2.0,1.9,2.04,1.86
28/05/12,630340.0,1.76,1.75,1.9,1.7
29/05/12,16396720.0,1.85,1.7,2.0,1.7
30/05/12,7206060.0,1.7,1.4,1.72,1.35
31/05/12,8592210.0,1.44,1.2,1.65,1.05
01/06/12,10426140.0,1.16,1.26,1.47,1.1
04/06/12,13682780.0,1.3,1.5,1.69,1.29
05/06/12,20911070.0,1.58,1.73,1.75,1.51
06/06/12,80136300.0,1.8,2.25,2.25,1.77
07/06/12,105213330.0,2.32,1.8,2.33,1.78
08/06/12,30977290.0,1.83,1.63,1.83,1.58
11/06/12,38009230.0,1.64,1.7,1.8,1.57
13/06/12,40168820.0,1.74,1.5,1.74,1.44
14/06/12,13130760.0,1.52,1.46,1.55,1.38
15/06/12,19724580.0,1.46,1.49,1.61,1.46
18/06/12,3678360.0,1.55,1.52,1.58,1.48
19/06/12,3379170.0,1.51,1.52,1.54,1.48
20/06/12,2403710.0,1.54,1.48,1.54,1.48
21/06/12,6815890.0,1.48,1.48,1.56,1.47
22/06/12,18356810.0,1.47,1.49,1.55,1.46
25/06/12,3635630.0,1.51,1.49,1.51,1.48
26/06/12,5098970.0,1.5,1.49,1.51,1.48
27/06/12,4473660.0,1.49,1.48,1.51,1.48
28/06/12,2078340.0,1.48,1.45,1.48,1.41
29/06/12,11210870.0,1.42,1.41,1.44,1.39
02/07/12,1175800.0,1.41,1.41,1.43,1.4
03/07/12,1855610.0,1.4,1.4,1.42,1.4
04/07/12,4034890.0,1.4,1.37,1.4,1.36
05/07/12,4872510.0,1.36,1.36,1.41,1.35
06/07/12,2107260.0,1.37,1.36,1.39,1.36
09/07/12,843020.0,1.42,1.36,1.42,1.36
10/07/12,1844870.0,1.36,1.32,1.4,1.31
11/07/12,2761440.0,1.38,1.34,1.38,1.28
12/07/12,3503680.0,1.28,1.28,1.33,1.25
13/07/12,5423300.0,1.26,1.28,1.31,1.24
16/07/12,3430030.0,1.26,1.25,1.32,1.25
17/07/12,3612530.0,1.28,1.2,1.28,1.2
18/07/12,2861800.0,1.25,1.19,1.25,1.18
19/07/12,3259030.0,1.19,1.18,1.21,1.17
20/07/12,999640.0,1.18,1.17,1.2,1.16
23/07/12,1118190.0,1.16,1.16,1.19,1.15
24/07/12,1384310.0,1.16,1.18,1.23,1.15
25/07/12,465040.0,1.16,1.16,1.2,1.16
26/07/12,1315470.0,1.2,1.17,1.24,1.16
27/07/12,6345430.0,1.18,1.2,1.26,1.18
30/07/12,1015940.0,1.21,1.18,1.22,1.18
31/07/12,9599310.0,1.2,1.24,1.28,1.2
01/08/12,63607800.0,1.24,1.38,1.5,1.24
02/08/12,42619670.0,1.43,1.38,1.48,1.36
03/08/12,13714750.0,1.38,1.29,1.41,1.26
06/08/12,30224560.0,1.27,1.5,1.5,1.27
08/08/12,42446270.0,1.5,1.57,1.6,1.47
09/08/12,15544100.0,1.56,1.45,1.56,1.4
10/08/12,4678410.0,1.5,1.4,1.5,1.4
13/08/12,4235110.0,1.4,1.4,1.45,1.38
14/08/12,5220310.0,1.4,1.43,1.5,1.4
15/08/12,6214560.0,1.43,1.4,1.48,1.4
16/08/12,3413980.0,1.4,1.33,1.4,1.33
17/08/12,2806040.0,1.36,1.35,1.37,1.33
22/08/12,2219230.0,1.35,1.33,1.37,1.33
23/08/12,4356070.0,1.35,1.37,1.45,1.35
24/08/12,5687490.0,1.37,1.35,1.41,1.35
28/08/12,1676020.0,1.36,1.37,1.39,1.35
29/08/12,2134880.0,1.39,1.4,1.42,1.38
30/08/12,981210.0,1.41,1.38,1.43,1.37
31/08/12,512520.0,1.36,1.38,1.38,1.35
03/09/12,665600.0,1.36,1.37,1.4,1.36
04/09/12,3427860.0,1.38,1.36,1.38,1.34
05/09/12,5991970.0,1.34,1.28,1.37,1.28
06/09/12,2822260.0,1.29,1.29,1.32,1.28
07/09/12,1627300.0,1.3,1.29,1.3,1.28
10/09/12,1080040.0,1.27,1.28,1.29,1.27
11/09/12,866250.0,1.27,1.27,1.28,1.27
12/09/12,1873450.0,1.3,1.3,1.33,1.28
13/09/12,1691540.0,1.3,1.3,1.33,1.3
14/09/12,3332730.0,1.3,1.29,1.32,1.28
17/09/12,3031990.0,1.31,1.29,1.35,1.29
18/09/12,9325710.0,1.33,1.32,1.34,1.31
19/09/12,2513600.0,1.32,1.29,1.34,1.29
20/09/12,1482040.0,1.3,1.29,1.31,1.28
21/09/12,631040.0,1.3,1.28,1.3,1.28
24/09/12,3383500.0,1.28,1.28,1.28,1.25
25/09/12,681940.0,1.29,1.28,1.3,1.28
26/09/12,997170.0,1.28,1.27,1.29,1.24
27/09/12,1489180.0,1.27,1.27,1.3,1.24
28/09/12,1681950.0,1.29,1.25,1.29,1.25
01/10/12,214970.0,1.25,1.25,1.25,1.24
02/10/12,419950.0,1.25,1.25,1.26,1.25
03/10/12,4250170.0,1.25,1.24,1.25,1.21
04/10/12,2605140.0,1.25,1.23,1.25,1.2
05/10/12,861930.0,1.23,1.25,1.26,1.23
08/10/12,760970.0,1.24,1.26,1.26,1.24
09/10/12,1288260.0,1.23,1.23,1.23,1.2
10/10/12,1594710.0,1.22,1.22,1.24,1.2
11/10/12,843770.0,1.21,1.21,1.23,1.2
12/10/12,1216840.0,1.21,1.2,1.23,1.2
15/10/12,1866480.0,1.2,1.2,1.22,1.19
16/10/12,1851980.0,1.2,1.19,1.2,1.17
17/10/12,1087070.0,1.2,1.2,1.2,1.18
18/10/12,2139430.0,1.18,1.17,1.2,1.15
19/10/12,2295120.0,1.16,1.19,1.19,1.15
22/10/12,2006470.0,1.16,1.13,1.16,1.13
23/10/12,3913860.0,1.15,1.15,1.17,1.12
24/10/12,918000.0,1.14,1.13,1.14,1.13
25/10/12,10866790.0,1.13,1.19,1.25,1.13
29/10/12,6961320.0,1.19,1.13,1.22,1.12
30/10/12,617360.0,1.16,1.15,1.17,1.12
31/10/12,2670190.0,1.18,1.2,1.2,1.17
05/11/12,457960.0,1.22,1.2,1.22,1.16
06/11/12,628800.0,1.23,1.19,1.23,1.15
07/11/12,1212690.0,1.13,1.19,1.2,1.13
08/11/12,5351700.0,1.19,1.19,1.19,1.11
09/11/12,16985540.0,1.19,1.2,1.26,1.15
12/11/12,6424820.0,1.22,1.21,1.22,1.16
13/11/12,556990.0,1.23,1.22,1.23,1.19
14/11/12,6562780.0,1.22,1.22,1.24,1.16
15/11/12,491900.0,1.18,1.22,1.22,1.18
16/11/12,848680.0,1.21,1.23,1.23,1.2
19/11/12,3013690.0,1.22,1.26,1.26,1.2
20/11/12,7426690.0,1.27,1.24,1.32,1.24
21/11/12,1655450.0,1.29,1.22,1.29,1.22
22/11/12,794050.0,1.24,1.23,1.25,1.22
23/11/12,1593740.0,1.22,1.24,1.25,1.22
26/11/12,455480.0,1.24,1.25,1.25,1.22
27/11/12,5838820.0,1.25,1.22,1.25,1.18
28/11/12,3270690.0,1.24,1.27,1.27,1.21
29/11/12,540970.0,1.27,1.25,1.27,1.23
03/12/12,1446030.0,1.25,1.26,1.27,1.25
04/12/12,15053960.0,1.26,1.31,1.33,1.25
05/12/12,13610890.0,1.31,1.28,1.35,1.26
06/12/12,4365240.0,1.3,1.29,1.31,1.27
07/12/12,653950.0,1.28,1.29,1.29,1.27
10/12/12,46264590.0,1.27,1.41,1.41,1.26
11/12/12,10374430.0,1.42,1.33,1.42,1.32
12/12/12,8146720.0,1.33,1.27,1.36,1.26
13/12/12,16421800.0,1.28,1.34,1.38,1.28
14/12/12,1849150.0,1.32,1.28,1.32,1.28
17/12/12,5676490.0,1.29,1.28,1.32,1.22
18/12/12,5637380.0,1.28,1.27,1.3,1.27
19/12/12,1829090.0,1.27,1.3,1.3,1.27
20/12/12,948920.0,1.31,1.29,1.31,1.29
21/12/12,6422330.0,1.3,1.3,1.3,1.26
26/12/12,1421640.0,1.3,1.31,1.34,1.3
27/12/12,8885580.0,1.3,1.36,1.36,1.3
28/12/12,21567460.0,1.36,1.39,1.43,1.36
02/01/13,7204390.0,1.37,1.4,1.43,1.37
03/01/13,15430070.0,1.42,1.44,1.46,1.4
04/01/13,23474680.0,1.41,1.5,1.53,1.38
