Date,Value,Open,Close,High,Low
03/08/09,35238400.0,2.5,2.6,2.7,2.5
04/08/09,21759750.0,2.7,2.6,2.7,2.55
06/08/09,34374800.0,2.6,2.6,2.65,2.55
07/08/09,54957800.0,2.65,2.6,2.65,2.55
10/08/09,12063900.0,2.6,2.6,2.65,2.55
11/08/09,5104800.0,2.5,2.6,2.6,2.5
12/08/09,6154350.0,2.65,2.6,2.65,2.55
13/08/09,32473550.0,2.7,2.65,2.9,2.65
14/08/09,4049350.0,2.65,2.6,2.7,2.6
17/08/09,35553370.0,2.6,2.48,2.6,2.48
18/08/09,22324460.0,2.42,2.5,2.55,2.4
19/08/09,11328500.0,2.6,2.6,2.6,2.55
20/08/09,16272900.0,2.6,2.55,2.6,2.5
24/08/09,18757000.0,2.55,2.6,2.65,2.55
25/08/09,28787200.0,2.6,2.6,2.65,2.55
26/08/09,83169800.0,2.65,2.8,2.85,2.65
03/09/09,36132610.0,2.6,2.5,2.6,2.46
04/09/09,27628550.0,2.6,2.55,2.65,2.55
16/09/09,80218780.0,2.48,2.5,2.55,2.46
17/09/09,50127190.0,2.5,2.36,2.55,2.36
18/09/09,19680080.0,2.36,2.48,2.48,2.36
22/09/09,2939640.0,2.5,2.48,2.5,2.46
23/09/09,8399480.0,2.48,2.44,2.48,2.44
30/09/09,12420340.0,2.32,2.32,2.32,2.3
01/10/09,14781000.0,2.32,2.3,2.34,2.28
02/10/09,13031100.0,2.24,2.2,2.24,2.18
05/10/09,8159780.0,2.2,2.16,2.22,2.14
06/10/09,15847860.0,2.22,2.12,2.22,2.1
07/10/09,38033140.0,2.14,2.12,2.18,2.08
08/10/09,67047560.0,2.12,2.28,2.32,2.12
09/10/09,47794280.0,2.34,2.26,2.34,2.24
12/10/09,20709680.0,2.24,2.22,2.26,2.2
13/10/09,28049660.0,2.24,2.18,2.24,2.18
14/10/09,17919460.0,2.18,2.18,2.22,2.16
15/10/09,15176940.0,2.2,2.18,2.22,2.18
16/10/09,11058740.0,2.18,2.18,2.18,2.14
19/10/09,10574560.0,2.14,2.12,2.16,2.1
20/10/09,39820140.0,2.14,2.02,2.14,2.0
21/10/09,43975620.0,2.02,2.1,2.14,1.98
22/10/09,36546220.0,2.1,2.04,2.16,2.04
23/10/09,17142140.0,2.04,2.08,2.1,2.04
26/10/09,5201360.0,2.08,2.04,2.08,2.02
27/10/09,18718600.0,2.04,2.06,2.06,2.02
28/10/09,47289820.0,2.04,2.0,2.04,1.98
29/10/09,52045820.0,1.96,1.9,1.96,1.88
30/10/09,76638080.0,1.96,1.98,2.06,1.9
03/11/09,12678400.0,1.98,1.94,2.0,1.94
04/11/09,25612140.0,1.94,1.98,2.0,1.94
05/11/09,48944340.0,2.0,2.08,2.16,2.0
06/11/09,6117660.0,2.1,2.04,2.12,2.04
09/11/09,5820500.0,2.04,1.98,2.08,1.98
10/11/09,19758200.0,2.0,2.04,2.06,2.0
11/11/09,6511180.0,2.04,2.02,2.04,1.98
15/12/09,5383000.0,1.92,1.9,1.92,1.9
16/12/09,303678920.0,1.9,1.92,1.96,1.9
17/12/09,4857500.0,1.94,1.92,1.94,1.92
18/12/09,1866220.0,1.92,1.92,1.92,1.9
21/12/09,1216100.0,1.9,1.88,1.9,1.88
22/12/09,6333360.0,1.84,1.88,1.88,1.82
23/12/09,2877420.0,1.86,1.86,1.86,1.86
29/12/09,9166300.0,1.9,1.88,1.9,1.88
04/01/10,2948900.0,1.92,1.9,1.92,1.9
05/01/10,4251320.0,1.9,1.88,1.9,1.88
06/01/10,13203400.0,1.88,1.9,1.9,1.86
07/01/10,1007920.0,1.92,1.92,1.92,1.9
08/01/10,31271780.0,1.94,2.0,2.02,1.94
11/01/10,38331660.0,2.04,2.1,2.14,2.04
12/01/10,12687000.0,2.12,2.08,2.12,2.06
13/01/10,8107900.0,2.1,2.1,2.1,2.06
14/01/10,36087800.0,2.1,2.12,2.16,2.08
15/01/10,26162180.0,2.14,2.1,2.16,2.1
18/01/10,428116700.0,2.08,2.06,2.12,2.06
19/01/10,10383060.0,2.02,2.02,2.02,1.98
20/01/10,5748740.0,2.0,1.98,2.0,1.96
21/01/10,3461640.0,1.98,1.98,2.0,1.96
22/01/10,21824160.0,1.96,1.98,2.06,1.96
25/01/10,13100540.0,1.94,1.88,1.94,1.86
26/01/10,20106840.0,1.88,1.78,1.88,1.76
27/01/10,12226020.0,1.78,1.78,1.8,1.72
28/01/10,31640200.0,1.8,1.84,1.84,1.74
29/01/10,15170900.0,1.8,1.84,1.84,1.8
01/02/10,17917720.0,1.88,1.82,1.88,1.8
02/02/10,11172640.0,1.84,1.82,1.86,1.8
03/02/10,13852380.0,1.84,1.8,1.84,1.8
04/02/10,33176340.0,1.82,1.9,1.92,1.82
05/02/10,7956420.0,1.86,1.82,1.86,1.82
08/02/10,13435640.0,1.82,1.88,1.92,1.82
09/02/10,20146580.0,1.88,1.84,1.9,1.84
10/02/10,5290260.0,1.86,1.86,1.88,1.86
11/02/10,23949600.0,1.88,1.9,1.92,1.88
08/03/10,5581320.0,1.9,1.92,1.94,1.9
12/03/10,4558120.0,1.98,1.98,2.0,1.98
15/03/10,57351040.0,1.98,2.04,2.06,1.98
16/03/10,46528440.0,2.04,2.0,2.04,2.0
17/03/10,6414040.0,2.0,1.98,2.0,1.98
31/03/10,4170820.0,2.08,2.08,2.08,2.04
20/04/10,7440860.0,2.0,1.98,2.0,1.98
21/04/10,28759600.0,1.96,1.94,1.96,1.9
22/04/10,67829620.0,1.92,1.88,1.92,1.86
23/04/10,62742520.0,1.82,1.9,1.9,1.78
29/04/10,5738120.0,1.94,1.94,1.94,1.92
30/04/10,8026320.0,1.92,1.9,1.92,1.9
04/05/10,15789380.0,1.9,1.88,1.9,1.86
05/05/10,7979520.0,1.84,1.82,1.84,1.82
13/05/10,61027180.0,1.64,1.76,1.76,1.64
14/05/10,27664420.0,1.74,1.78,1.8,1.72
17/05/10,14067780.0,1.78,1.76,1.8,1.74
18/05/10,20253400.0,1.76,1.72,1.76,1.68
19/05/10,44794880.0,1.7,1.68,1.7,1.68
20/05/10,9650580.0,1.68,1.62,1.68,1.62
21/05/10,17069880.0,1.6,1.6,1.6,1.56
24/05/10,24378920.0,1.62,1.56,1.62,1.56
25/05/10,19118860.0,1.56,1.56,1.58,1.54
26/05/10,14451420.0,1.56,1.56,1.58,1.56
27/05/10,15180040.0,1.58,1.58,1.62,1.58
28/05/10,29213460.0,1.62,1.62,1.64,1.6
31/05/10,13909900.0,1.6,1.66,1.68,1.6
01/06/10,854800.0,1.66,1.64,1.66,1.62
02/06/10,17505180.0,1.64,1.6,1.64,1.56
03/06/10,4654600.0,1.64,1.62,1.64,1.6
04/06/10,18715780.0,1.62,1.64,1.68,1.62
07/06/10,8499240.0,1.64,1.58,1.64,1.58
08/06/10,6403300.0,1.58,1.58,1.6,1.58
09/06/10,15333920.0,1.62,1.58,1.62,1.56
10/06/10,4983360.0,1.6,1.58,1.6,1.58
11/06/10,1517820.0,1.62,1.6,1.62,1.58
15/06/10,7800760.0,1.62,1.62,1.64,1.6
16/06/10,28870020.0,1.64,1.68,1.7,1.62
21/06/10,31778980.0,1.78,1.88,1.9,1.78
22/06/10,61656480.0,1.86,1.86,1.9,1.86
23/06/10,21294140.0,1.84,1.84,1.86,1.82
24/06/10,21144080.0,1.84,1.86,1.86,1.84
25/06/10,19838140.0,1.84,1.84,1.86,1.84
28/06/10,27893560.0,1.86,1.88,1.88,1.84
29/06/10,14966440.0,1.88,1.88,1.9,1.86
01/07/10,21274740.0,1.86,1.9,1.9,1.84
02/07/10,16597640.0,1.88,1.88,1.92,1.86
06/07/10,18393540.0,1.86,1.86,1.86,1.86
07/07/10,1816980.0,1.88,1.86,1.88,1.86
08/07/10,16358480.0,1.88,1.9,1.92,1.86
09/07/10,29500440.0,1.92,1.98,1.98,1.9
13/07/10,32761320.0,1.96,1.98,2.06,1.96
14/07/10,6324020.0,2.02,2.04,2.04,2.0
15/07/10,47935140.0,2.04,2.16,2.16,2.04
16/07/10,62545360.0,2.16,2.2,2.26,2.1
19/07/10,45984180.0,2.18,2.34,2.34,2.16
20/07/10,66767440.0,2.36,2.42,2.48,2.36
21/07/10,43017900.0,2.44,2.4,2.46,2.4
22/07/10,30768780.0,2.38,2.34,2.38,2.32
23/07/10,56274100.0,2.36,2.42,2.44,2.36
20/09/10,26170390.0,3.33,3.34,3.35,3.25
21/09/10,61646440.0,3.5,3.43,3.5,3.38
22/09/10,12237730.0,3.43,3.43,3.44,3.37
23/09/10,33327050.0,3.4,3.49,3.55,3.4
24/09/10,13816490.0,3.5,3.48,3.55,3.44
27/09/10,10279260.0,3.45,3.39,3.45,3.36
28/09/10,5621980.0,3.4,3.4,3.4,3.35
29/09/10,18618940.0,3.38,3.27,3.4,3.25
30/09/10,21305540.0,3.27,3.21,3.27,3.11
01/10/10,11171430.0,3.21,3.3,3.32,3.11
04/10/10,49332670.0,3.34,3.3,3.35,3.29
05/10/10,52610060.0,3.34,3.3,3.34,3.19
06/10/10,31574890.0,3.38,3.35,3.38,3.32
07/10/10,21888610.0,3.36,3.33,3.39,3.32
08/10/10,13895890.0,3.31,3.32,3.35,3.24
12/10/10,8169030.0,3.23,3.2,3.23,3.2
13/10/10,20911340.0,3.15,3.17,3.18,3.1
14/10/10,17590780.0,3.23,3.26,3.28,3.22
15/10/10,8477050.0,3.25,3.24,3.25,3.21
18/10/10,32148210.0,3.26,3.24,3.3,3.22
19/10/10,10667080.0,3.26,3.3,3.3,3.21
20/10/10,17233740.0,3.27,3.25,3.27,3.22
21/10/10,20591230.0,3.3,3.27,3.3,3.24
22/10/10,11181900.0,3.27,3.26,3.34,3.26
26/10/10,41055550.0,3.28,3.29,3.35,3.26
