Date,Value,Open,Close,High,Low
15/06/22,270287770.0,1.73,1.75,1.75,1.59
16/06/22,21061740.0,1.74,1.72,1.75,1.68
17/06/22,17009490.0,1.72,1.71,1.72,1.67
20/06/22,20645000.0,1.7,1.71,1.75,1.7
21/06/22,9837620.0,1.72,1.72,1.73,1.71
22/06/22,8754670.0,1.72,1.73,1.74,1.72
23/06/22,6298620.0,1.73,1.72,1.74,1.72
24/06/22,7715900.0,1.73,1.72,1.73,1.71
27/06/22,3080190.0,1.73,1.72,1.73,1.72
28/06/22,2681320.0,1.72,1.73,1.73,1.71
29/06/22,5841460.0,1.73,1.75,1.75,1.72
30/06/22,1399880.0,1.75,1.74,1.75,1.74
01/07/22,7251260.0,1.75,1.76,1.76,1.74
04/07/22,2424890.0,1.76,1.75,1.77,1.75
05/07/22,495600.0,1.77,1.76,1.77,1.75
06/07/22,4208830.0,1.76,1.76,1.77,1.75
06/07/22,4208830.0,1.76,1.76,1.77,1.75
06/07/22,4208830.0,1.76,1.76,1.77,1.75
07/07/22,4088130.0,1.76,1.75,1.76,1.75
07/07/22,4088130.0,1.76,1.75,1.76,1.75
08/07/22,3791600.0,1.75,1.76,1.77,1.75
11/07/22,2687150.0,1.77,1.76,1.77,1.74
11/07/22,2687150.0,1.77,1.76,1.77,1.74
12/07/22,756690.0,1.76,1.75,1.76,1.74
12/07/22,756690.0,1.76,1.75,1.76,1.74
13/07/22,10014720.0,1.74,1.74,1.75,1.74
14/07/22,4919210.0,1.74,1.76,1.76,1.74
14/07/22,4919210.0,1.74,1.76,1.76,1.74
15/07/22,1260500.0,1.76,1.73,1.76,1.71
18/07/22,1155970.0,1.73,1.71,1.73,1.71
19/07/22,920820.0,1.73,1.72,1.73,1.71
20/07/22,428810.0,1.72,1.72,1.73,1.71
21/07/22,1345640.0,1.72,1.74,1.74,1.72
22/07/22,420070.0,1.74,1.72,1.74,1.72
25/07/22,1454110.0,1.72,1.76,1.76,1.72
26/07/22,4300880.0,1.76,1.75,1.76,1.75
27/07/22,319190.0,1.75,1.74,1.76,1.74
28/07/22,3683570.0,1.73,1.76,1.76,1.73
29/07/22,4432350.0,1.76,1.75,1.77,1.75
01/08/22,338890.0,1.77,1.76,1.77,1.75
02/08/22,408960.0,1.76,1.75,1.76,1.74
02/08/22,408960.0,1.76,1.75,1.76,1.74
03/08/22,1632300.0,1.74,1.75,1.75,1.73
04/08/22,139810.0,1.74,1.75,1.75,1.74
