Date,Value,Open,Close,High,Low
07/08/09,120000.0,4.0,4.0,4.0,4.0
14/08/09,83750.0,3.35,3.35,3.35,3.35
18/08/09,30000.0,3.0,3.0,3.0,3.0
19/08/09,274500.0,3.25,3.5,3.5,3.25
20/08/09,35000.0,3.5,3.5,3.5,3.5
24/08/09,105000.0,3.5,3.5,3.5,3.5
25/08/09,105000.0,3.5,3.5,3.5,3.5
26/08/09,293500.0,3.5,3.8,3.8,3.5
18/09/09,172500.0,3.25,3.5,3.5,3.25
22/09/09,35000.0,3.5,3.5,3.5,3.5
01/10/09,33000.0,3.3,3.3,3.3,3.3
16/10/09,38500.0,3.5,3.5,3.5,3.5
30/10/09,2550.0,2.55,2.55,2.55,2.55
03/11/09,283000.0,2.7,3.0,3.0,2.7
04/11/09,11700.0,2.85,3.0,3.0,2.85
09/11/09,2800.0,2.8,2.8,2.8,2.8
11/11/09,59050.0,2.8,3.15,3.15,2.8
22/12/09,103260.0,1.88,2.5,2.5,1.88
07/01/10,10000.0,2.5,2.5,2.5,2.5
12/01/10,571000.0,2.55,3.0,3.0,2.55
13/01/10,5186050.0,3.3,4.5,4.5,3.3
14/01/10,23850950.0,4.75,4.8,5.5,4.65
15/01/10,2757850.0,4.65,4.5,5.0,4.5
18/01/10,23751250.0,4.4,4.65,4.9,4.4
19/01/10,9350400.0,4.45,4.35,4.45,4.15
20/01/10,3880800.0,4.15,4.2,4.3,4.0
21/01/10,4879500.0,4.0,4.2,4.2,3.8
22/01/10,1561300.0,4.05,4.05,4.3,4.05
25/01/10,617250.0,4.0,3.7,4.0,3.7
26/01/10,423500.0,3.75,3.65,3.8,3.65
27/01/10,1480800.0,3.55,3.4,3.55,3.4
28/01/10,320900.0,3.35,3.55,3.95,3.35
01/02/10,17750.0,3.55,3.55,3.55,3.55
03/02/10,7000.0,3.4,3.6,3.6,3.4
04/02/10,1206850.0,3.6,3.9,4.0,3.6
05/02/10,27250.0,3.9,3.85,3.9,3.85
