Date,Value,Open,Close,High,Low
07/08/09,16000.0,0.32,0.32,0.32,0.32
12/08/09,19200.0,0.32,0.32,0.32,0.32
17/08/09,112100.0,0.31,0.3,0.31,0.3
20/08/09,3000.0,0.3,0.3,0.3,0.3
25/08/09,3000.0,0.3,0.3,0.3,0.3
26/08/09,63000.0,0.3,0.3,0.3,0.3
30/09/09,2700.0,0.27,0.27,0.27,0.27
06/10/09,2900.0,0.29,0.29,0.29,0.29
08/10/09,2900.0,0.29,0.29,0.29,0.29
09/10/09,23700.0,0.35,0.33,0.35,0.33
12/10/09,3300.0,0.33,0.33,0.33,0.33
15/10/09,588800.0,0.26,0.28,0.3,0.26
16/10/09,47900.0,0.27,0.3,0.32,0.27
19/10/09,372500.0,0.3,0.3,0.3,0.28
20/10/09,162600.0,0.28,0.29,0.29,0.28
21/10/09,19800.0,0.3,0.28,0.3,0.28
26/10/09,89900.0,0.29,0.3,0.3,0.29
27/10/09,443800.0,0.3,0.32,0.33,0.3
28/10/09,417700.0,0.34,0.35,0.36,0.33
29/10/09,10300.0,0.37,0.31,0.37,0.31
30/10/09,56100.0,0.33,0.33,0.33,0.33
04/11/09,27200.0,0.34,0.34,0.34,0.34
05/11/09,122100.0,0.33,0.33,0.33,0.33
06/11/09,38600.0,0.32,0.33,0.33,0.32
09/11/09,118400.0,0.32,0.32,0.32,0.32
11/11/09,56800.0,0.32,0.31,0.32,0.31
17/12/09,21200.0,0.26,0.28,0.28,0.26
21/12/09,19600.0,0.28,0.28,0.28,0.28
22/12/09,2900.0,0.29,0.29,0.29,0.29
04/01/10,3000.0,0.3,0.3,0.3,0.3
07/01/10,15000.0,0.3,0.3,0.3,0.3
11/01/10,3100.0,0.31,0.31,0.31,0.31
12/01/10,18100.0,0.3,0.3,0.31,0.3
13/01/10,6000.0,0.3,0.3,0.3,0.3
15/01/10,120000.0,0.3,0.3,0.3,0.3
18/01/10,45000.0,0.3,0.3,0.3,0.3
19/01/10,61000.0,0.29,0.3,0.3,0.29
21/01/10,70600.0,0.3,0.29,0.3,0.29
25/01/10,8800.0,0.29,0.3,0.3,0.29
01/02/10,6500.0,0.35,0.3,0.35,0.3
03/02/10,48600.0,0.27,0.27,0.27,0.27
04/02/10,136500.0,0.3,0.28,0.3,0.28
05/02/10,120900.0,0.25,0.26,0.28,0.25
08/02/10,2800.0,0.28,0.28,0.28,0.28
08/03/10,13500.0,0.27,0.27,0.27,0.27
15/03/10,13500.0,0.27,0.27,0.27,0.27
31/03/10,13500.0,0.27,0.27,0.27,0.27
20/04/10,27000.0,0.27,0.27,0.27,0.27
21/04/10,61300.0,0.27,0.26,0.27,0.26
22/04/10,50800.0,0.27,0.26,0.27,0.26
23/04/10,52000.0,0.26,0.26,0.26,0.26
29/04/10,27000.0,0.27,0.27,0.27,0.27
04/05/10,108000.0,0.27,0.27,0.27,0.27
17/05/10,5200.0,0.26,0.26,0.26,0.26
21/05/10,2600.0,0.26,0.26,0.26,0.26
25/05/10,7700.0,0.25,0.27,0.27,0.25
01/06/10,5300.0,0.26,0.27,0.27,0.26
02/06/10,18300.0,0.26,0.27,0.27,0.26
07/06/10,20000.0,0.25,0.25,0.25,0.25
08/06/10,2700.0,0.27,0.27,0.27,0.27
21/06/10,30300.0,0.25,0.26,0.26,0.25
29/06/10,27600.0,0.25,0.26,0.26,0.25
02/07/10,42200.0,0.29,0.27,0.29,0.26
07/07/10,48600.0,0.27,0.27,0.27,0.27
09/07/10,202600.0,0.27,0.26,0.27,0.26
21/07/10,10400.0,0.26,0.26,0.26,0.26
22/07/10,77900.0,0.26,0.27,0.27,0.26
20/09/10,13500.0,0.27,0.27,0.27,0.27
21/09/10,18550.0,0.265,0.265,0.265,0.265
22/09/10,322550.0,0.265,0.27,0.27,0.25
24/09/10,276850.0,0.28,0.275,0.28,0.27
27/09/10,811650.0,0.285,0.29,0.3,0.285
28/09/10,39250.0,0.29,0.275,0.29,0.275
29/09/10,147900.0,0.29,0.29,0.29,0.29
30/09/10,51300.0,0.3,0.29,0.3,0.28
01/10/10,5800.0,0.29,0.29,0.29,0.29
04/10/10,5800.0,0.285,0.295,0.295,0.285
05/10/10,93400.0,0.3,0.295,0.3,0.29
06/10/10,241700.0,0.295,0.3,0.3,0.29
07/10/10,41900.0,0.295,0.3,0.3,0.295
08/10/10,223850.0,0.3,0.305,0.305,0.3
12/10/10,144550.0,0.295,0.295,0.295,0.295
13/10/10,43500.0,0.29,0.29,0.29,0.29
14/10/10,36200.0,0.31,0.31,0.31,0.3
15/10/10,72550.0,0.315,0.32,0.32,0.315
18/10/10,24150.0,0.3,0.315,0.315,0.3
19/10/10,37350.0,0.315,0.315,0.315,0.3
22/10/10,6200.0,0.31,0.31,0.31,0.31
26/10/10,3100.0,0.31,0.31,0.31,0.31
02/11/10,6000.0,0.3,0.3,0.3,0.3
03/11/10,20800.0,0.295,0.305,0.305,0.295
08/11/10,57050.0,0.3,0.305,0.305,0.3
09/11/10,17800.0,0.295,0.305,0.305,0.295
11/11/10,32550.0,0.295,0.305,0.305,0.295
17/11/10,27500.0,0.275,0.275,0.275,0.275
18/11/10,6050.0,0.305,0.3,0.305,0.3
19/11/10,6000.0,0.3,0.3,0.3,0.3
23/11/10,227000.0,0.28,0.28,0.3,0.28
24/11/10,3000.0,0.3,0.3,0.3,0.3
26/11/10,297400.0,0.275,0.27,0.275,0.27
30/11/10,2900.0,0.29,0.29,0.29,0.29
01/12/10,78300.0,0.27,0.27,0.27,0.27
02/12/10,5750.0,0.29,0.285,0.29,0.285
03/12/10,380700.0,0.27,0.27,0.27,0.27
07/12/10,16500.0,0.3,0.27,0.3,0.27
08/12/10,5400.0,0.27,0.27,0.27,0.27
23/12/10,2950.0,0.295,0.295,0.295,0.295
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
28/12/10,56000.0,0.28,0.28,0.28,0.28
29/12/10,2950.0,0.295,0.295,0.295,0.295
29/12/10,2950.0,0.295,0.295,0.295,0.295
03/01/11,12100.0,0.3,0.31,0.31,0.3
03/01/11,12100.0,0.3,0.31,0.31,0.3
03/01/11,12100.0,0.3,0.31,0.31,0.3
04/01/11,186000.0,0.3,0.3,0.3,0.28
05/01/11,34800.0,0.29,0.29,0.29,0.29
06/01/11,17600.0,0.29,0.295,0.295,0.29
07/01/11,1546200.0,0.3,0.31,0.33,0.295
10/01/11,92800.0,0.33,0.32,0.33,0.31
11/01/11,6200.0,0.3,0.32,0.32,0.3
11/01/11,6200.0,0.3,0.32,0.32,0.3
12/01/11,128300.0,0.33,0.31,0.33,0.31
13/01/11,79600.0,0.315,0.33,0.33,0.315
14/01/11,338300.0,0.33,0.34,0.34,0.33
17/01/11,508600.0,0.35,0.45,0.49,0.35
18/01/11,530150.0,0.45,0.435,0.45,0.435
19/01/11,250400.0,0.38,0.4,0.4,0.36
19/01/11,250400.0,0.38,0.4,0.4,0.36
20/01/11,109800.0,0.365,0.4,0.4,0.365
20/01/11,109800.0,0.365,0.4,0.4,0.365
24/01/11,109500.0,0.38,0.34,0.38,0.34
25/01/11,347600.0,0.35,0.36,0.36,0.35
26/01/11,111800.0,0.37,0.365,0.37,0.355
27/01/11,994400.0,0.37,0.375,0.375,0.355
28/01/11,185100.0,0.38,0.37,0.38,0.37
28/01/11,185100.0,0.38,0.37,0.38,0.37
31/01/11,3700.0,0.37,0.37,0.37,0.37
31/01/11,3700.0,0.37,0.37,0.37,0.37
14/02/11,3700.0,0.37,0.37,0.37,0.37
16/02/11,13800.0,0.34,0.36,0.36,0.34
16/02/11,13800.0,0.34,0.36,0.36,0.34
17/02/11,87500.0,0.35,0.35,0.35,0.35
18/02/11,3600.0,0.36,0.36,0.36,0.36
21/02/11,3600.0,0.36,0.36,0.36,0.36
21/02/11,3600.0,0.36,0.36,0.36,0.36
24/02/11,108600.0,0.35,0.36,0.36,0.35
24/02/11,108600.0,0.35,0.36,0.36,0.35
25/02/11,44400.0,0.34,0.36,0.36,0.34
28/02/11,44400.0,0.34,0.36,0.36,0.34
02/03/11,175000.0,0.35,0.35,0.35,0.35
03/03/11,3600.0,0.36,0.36,0.36,0.36
08/03/11,17500.0,0.35,0.35,0.35,0.35
08/03/11,17500.0,0.35,0.35,0.35,0.35
