Date,Value,Open,Close,High,Low
03/08/09,61750.0,0.125,0.13,0.13,0.125
04/08/09,617550.0,0.13,0.12,0.13,0.12
06/08/09,273700.0,0.13,0.12,0.13,0.12
07/08/09,125000.0,0.125,0.125,0.125,0.125
10/08/09,63650.0,0.125,0.12,0.125,0.12
11/08/09,487500.0,0.12,0.13,0.13,0.12
12/08/09,305400.0,0.13,0.12,0.13,0.12
13/08/09,150050.0,0.125,0.13,0.13,0.125
14/08/09,336300.0,0.12,0.115,0.13,0.11
17/08/09,33350.0,0.115,0.115,0.115,0.115
19/08/09,42000.0,0.12,0.12,0.12,0.12
24/08/09,89850.0,0.12,0.12,0.12,0.115
25/08/09,7250.0,0.12,0.125,0.125,0.12
26/08/09,68400.0,0.12,0.12,0.12,0.12
03/09/09,2300.0,0.11,0.12,0.12,0.11
04/09/09,281200.0,0.12,0.11,0.12,0.11
17/09/09,28750.0,0.115,0.115,0.115,0.115
22/09/09,17250.0,0.115,0.115,0.115,0.115
23/09/09,1100.0,0.11,0.11,0.11,0.11
30/09/09,252000.0,0.1,0.1,0.1,0.1
01/10/09,90000.0,0.1,0.1,0.1,0.1
02/10/09,10000.0,0.1,0.1,0.1,0.1
05/10/09,10000.0,0.1,0.1,0.1,0.1
06/10/09,32500.0,0.105,0.11,0.11,0.105
07/10/09,100800.0,0.105,0.105,0.105,0.105
09/10/09,24000.0,0.1,0.1,0.1,0.1
16/10/09,121000.0,0.11,0.11,0.11,0.11
19/10/09,29700.0,0.11,0.11,0.11,0.11
20/10/09,96550.0,0.12,0.115,0.12,0.115
26/10/09,59800.0,0.115,0.115,0.115,0.115
27/10/09,225000.0,0.11,0.115,0.115,0.11
28/10/09,156200.0,0.11,0.11,0.11,0.11
29/10/09,9900.0,0.11,0.11,0.11,0.11
30/10/09,335800.0,0.115,0.115,0.115,0.115
05/11/09,83600.0,0.11,0.115,0.115,0.11
10/11/09,80500.0,0.115,0.115,0.115,0.115
11/11/09,94300.0,0.115,0.11,0.115,0.11
15/12/09,266500.0,0.1,0.115,0.115,0.1
16/12/09,33000.0,0.11,0.11,0.11,0.11
17/12/09,3150.0,0.105,0.105,0.105,0.105
21/12/09,6000.0,0.1,0.1,0.1,0.1
23/12/09,20000.0,0.1,0.1,0.1,0.1
04/01/10,36000.0,0.12,0.12,0.12,0.12
05/01/10,61200.0,0.12,0.12,0.12,0.12
06/01/10,71200.0,0.1,0.12,0.12,0.1
07/01/10,187850.0,0.11,0.115,0.115,0.11
08/01/10,39500.0,0.11,0.115,0.115,0.11
11/01/10,7800.0,0.11,0.115,0.115,0.11
12/01/10,108200.0,0.11,0.115,0.115,0.11
13/01/10,253000.0,0.11,0.11,0.11,0.11
14/01/10,27500.0,0.11,0.11,0.11,0.11
15/01/10,13200.0,0.11,0.11,0.11,0.11
20/01/10,65500.0,0.11,0.105,0.11,0.105
21/01/10,4200.0,0.105,0.105,0.105,0.105
22/01/10,60750.0,0.11,0.1,0.11,0.1
25/01/10,11000.0,0.11,0.11,0.11,0.11
26/01/10,80000.0,0.1,0.1,0.1,0.1
27/01/10,41000.0,0.1,0.105,0.105,0.1
28/01/10,34700.0,0.105,0.11,0.11,0.105
29/01/10,11100.0,0.1,0.11,0.11,0.1
05/02/10,5250.0,0.105,0.105,0.105,0.105
08/02/10,11050.0,0.1,0.105,0.105,0.1
09/02/10,31500.0,0.105,0.105,0.105,0.105
08/03/10,19500.0,0.0975,0.0975,0.0975,0.0975
16/03/10,33000.0,0.13,0.1,0.13,0.1
31/03/10,46250.0,0.0925,0.0925,0.0925,0.0925
04/05/10,29000.0,0.095,0.0975,0.0975,0.095
05/05/10,37500.0,0.095,0.0925,0.095,0.0925
17/05/10,9000.0,0.09,0.09,0.09,0.09
18/05/10,9000.0,0.09,0.09,0.09,0.09
03/06/10,25000.0,0.08,0.09,0.09,0.08
08/06/10,8750.0,0.0875,0.0875,0.0875,0.0875
09/06/10,8750.0,0.0875,0.0875,0.0875,0.0875
10/06/10,135250.0,0.09,0.0925,0.0925,0.09
11/06/10,28500.0,0.095,0.095,0.095,0.095
21/06/10,10000.0,0.1,0.1,0.1,0.1
23/06/10,19000.0,0.095,0.095,0.095,0.095
24/06/10,38000.0,0.095,0.095,0.095,0.095
01/07/10,258000.0,0.09,0.0975,0.0975,0.0875
09/07/10,306500.0,0.095,0.0925,0.095,0.0925
22/07/10,9000.0,0.09,0.09,0.09,0.09
20/09/10,20790.0,0.077,0.077,0.077,0.077
21/09/10,37730.0,0.077,0.077,0.077,0.077
22/09/10,1560.0,0.078,0.078,0.078,0.078
24/09/10,8580.0,0.078,0.078,0.078,0.078
27/09/10,79230.0,0.081,0.084,0.084,0.081
