Date,Value,Open,Close,High,Low
31/03/17,1064501830.0,5.3,5.33,5.37,5.17
03/04/17,304163814.0,5.33,5.35,5.46,5.32
04/04/17,102468565.0,5.36,5.32,5.37,5.21
05/04/17,169072547.0,5.3,5.17,5.32,5.1
06/04/17,103222187.0,5.15,5.2,5.24,5.08
07/04/17,94155381.0,5.21,5.16,5.27,5.12
10/04/17,36461037.0,5.16,5.23,5.24,5.16
11/04/17,45715951.0,5.24,5.23,5.24,5.2
12/04/17,39600741.0,5.24,5.28,5.33,5.24
17/04/17,17682836.0,5.28,5.21,5.28,5.2
18/04/17,25596354.0,5.22,5.19,5.22,5.16
19/04/17,70392413.0,5.19,5.25,5.32,5.17
20/04/17,21035803.0,5.25,5.23,5.3,5.2
21/04/17,40899850.0,5.24,5.23,5.26,5.22
24/04/17,31567448.0,5.23,5.21,5.24,5.19
25/04/17,60631318.0,5.22,5.25,5.25,5.22
26/04/17,205548511.0,5.26,5.42,5.46,5.23
27/04/17,159604929.0,5.45,5.42,5.56,5.39
02/05/17,33514048.0,5.44,5.36,5.45,5.34
03/05/17,42949311.0,5.37,5.28,5.37,5.25
04/05/17,76182415.0,5.29,5.36,5.38,5.27
05/05/17,71700954.0,5.36,5.34,5.36,5.32
08/05/17,74479283.0,5.34,5.37,5.43,5.32
09/05/17,24091927.0,5.39,5.38,5.39,5.33
10/05/17,58311670.0,5.38,5.39,5.45,5.35
11/05/17,50663960.0,5.38,5.4,5.42,5.34
12/05/17,28016053.0,5.41,5.39,5.41,5.35
15/05/17,90937805.0,5.39,5.43,5.49,5.39
16/05/17,71993755.0,5.45,5.4,5.49,5.39
17/05/17,31373008.0,5.4,5.43,5.43,5.38
18/05/17,85327905.0,5.42,5.35,5.42,5.32
19/05/17,88006034.0,5.35,5.39,5.46,5.35
22/05/17,24849643.0,5.41,5.39,5.43,5.39
23/05/17,30554125.0,5.41,5.41,5.41,5.39
24/05/17,12358954.0,5.38,5.38,5.38,5.3
25/05/17,62473168.0,5.38,5.38,5.4,5.34
26/05/17,111091506.0,5.39,5.42,5.44,5.35
29/05/17,212232113.0,5.4,5.41,5.41,5.39
30/05/17,315592938.0,5.41,5.7,5.76,5.4
31/05/17,82279464.0,5.7,5.75,5.79,5.66
01/06/17,343903512.0,5.75,6.2,6.27,5.75
02/06/17,219189118.0,6.16,6.07,6.35,6.02
02/06/17,219189118.0,6.16,6.07,6.35,6.02
05/06/17,112056850.0,6.07,6.27,6.35,6.01
06/06/17,97511066.0,6.27,6.25,6.45,6.23
07/06/17,130767543.0,6.25,6.49,6.49,6.19
08/06/17,123878896.0,6.5,6.5,6.63,6.48
09/06/17,45153006.0,6.5,6.59,6.61,6.48
13/06/17,86460641.0,6.59,6.58,6.6,6.5
14/06/17,58538406.0,6.58,6.47,6.6,6.32
15/06/17,120205563.0,6.5,6.69,6.8,6.5
16/06/17,160696499.0,6.7,6.82,6.99,6.7
19/06/17,210098371.0,6.85,7.0,7.05,6.85
20/06/17,338748789.0,7.05,7.58,7.58,7.04
21/06/17,286578692.0,7.6,7.79,7.98,7.58
22/06/17,260117383.0,7.68,7.55,7.85,7.45
23/06/17,196011367.0,7.54,7.9,7.9,7.43
27/06/17,235928894.0,7.9,8.02,8.17,7.88
28/06/17,106317295.0,8.06,7.95,8.14,7.94
29/06/17,51005623.0,7.98,7.95,8.04,7.89
30/06/17,130077356.0,7.95,7.94,8.05,7.71
03/07/17,50142314.0,7.94,7.73,7.95,7.73
04/07/17,101499719.0,7.73,7.99,8.0,7.73
05/07/17,233984044.0,8.01,8.48,8.5,7.95
06/07/17,236833126.0,8.5,8.65,8.88,8.43
07/07/17,50903928.0,8.65,8.61,8.88,8.6
10/07/17,38720934.0,8.63,8.63,8.8,8.6
11/07/17,183422195.0,8.63,8.59,8.65,8.15
12/07/17,158243320.0,8.59,8.66,8.7,8.2
13/07/17,106789949.0,8.7,8.44,8.76,8.36
14/07/17,102080205.0,8.44,8.25,8.55,8.22
17/07/17,65887544.0,8.24,8.1,8.4,8.06
18/07/17,121507517.0,8.09,8.29,8.37,7.9
19/07/17,138944668.0,8.31,8.71,8.76,8.31
20/07/17,187085665.0,8.75,8.89,9.08,8.75
21/07/17,51355833.0,8.92,8.85,9.01,8.59
24/07/17,30921778.0,8.85,8.81,8.85,8.7
25/07/17,43513427.0,8.8,8.75,8.95,8.62
26/07/17,67625512.0,8.75,8.94,9.0,8.7
27/07/17,74870694.0,8.98,9.0,9.15,8.75
28/07/17,55910583.0,8.99,9.0,9.13,8.95
31/07/17,35499287.0,9.0,8.91,9.0,8.88
01/08/17,37153194.0,8.81,8.74,8.86,8.62
02/08/17,24234786.0,8.74,8.88,9.0,8.69
03/08/17,10072816.0,8.88,8.74,8.9,8.73
04/08/17,19757026.0,8.74,8.72,8.85,8.67
07/08/17,27830446.0,8.69,8.8,8.82,8.54
08/08/17,5722350.0,8.79,8.62,8.79,8.6
09/08/17,55153214.0,8.63,8.28,8.63,8.1
10/08/17,48276902.0,8.23,8.34,8.46,8.2
11/08/17,49618323.0,8.34,8.08,8.34,7.87
14/08/17,105213953.0,7.95,8.33,8.35,7.95
15/08/17,101595199.0,8.33,8.82,8.82,8.33
16/08/17,64618942.0,8.8,8.72,8.87,8.64
17/08/17,70289000.0,8.72,8.85,8.89,8.5
18/08/17,64419046.0,8.84,8.9,8.95,8.79
22/08/17,12101224.0,8.89,8.84,8.9,8.63
23/08/17,6530947.0,8.84,8.85,8.85,8.69
24/08/17,26571160.0,8.8,8.55,8.93,8.55
25/08/17,7216683.0,8.54,8.76,8.77,8.52
29/08/17,20699109.0,8.78,8.7,8.79,8.69
30/08/17,16739686.0,8.7,8.72,8.8,8.56
31/08/17,45606206.0,8.74,8.87,8.88,8.66
04/09/17,175011431.0,8.83,9.25,9.25,8.7
05/09/17,78831682.0,9.25,9.2,9.52,9.2
06/09/17,54094055.0,9.15,9.4,9.44,9.05
07/09/17,60616208.0,9.42,9.3,9.7,9.28
08/09/17,37249790.0,9.3,9.4,9.5,9.3
11/09/17,19505104.0,9.49,9.4,9.5,9.35
13/09/17,29394494.0,9.4,9.47,9.47,9.26
14/09/17,15952667.0,9.48,9.5,9.5,9.3
15/09/17,15350104.0,9.5,9.4,9.5,9.3
18/09/17,76471050.0,9.4,9.05,9.4,9.05
19/09/17,83685338.0,9.13,8.87,9.18,8.76
20/09/17,43158622.0,8.98,8.95,9.19,8.92
21/09/17,16597976.0,8.97,9.08,9.18,8.95
22/09/17,16283111.0,9.08,8.9,9.25,8.9
25/09/17,16628932.0,8.92,8.93,8.98,8.9
26/09/17,67317870.0,8.94,8.63,8.94,8.57
27/09/17,13027481.0,8.6,8.86,8.86,8.6
28/09/17,83538688.0,8.88,8.84,9.0,8.8
29/09/17,8580533.0,8.95,8.9,8.95,8.88
02/10/17,21715225.0,8.96,8.9,8.96,8.85
03/10/17,39802523.0,8.9,8.7,8.9,8.68
04/10/17,18120568.0,8.7,8.8,8.84,8.7
05/10/17,26495224.0,8.8,8.53,8.9,8.5
06/10/17,13130874.0,8.53,8.6,8.7,8.53
09/10/17,12206640.0,8.6,8.55,8.6,8.52
10/10/17,70964267.0,8.55,8.37,8.57,8.35
11/10/17,30454516.0,8.36,8.19,8.36,8.19
12/10/17,62375045.0,8.19,8.19,8.51,8.16
13/10/17,46382832.0,8.2,8.11,8.22,8.09
17/10/17,43319344.0,8.09,7.98,8.1,7.97
18/10/17,39956786.0,7.98,8.24,8.24,7.95
19/10/17,37024429.0,8.25,8.59,8.59,8.25
20/10/17,18456238.0,8.6,8.62,8.62,8.45
23/10/17,4223249.0,8.64,8.55,8.64,8.45
24/10/17,5847634.0,8.45,8.5,8.52,8.43
25/10/17,12553504.0,8.5,8.49,8.54,8.43
26/10/17,26318390.0,8.55,8.42,8.55,8.42
27/10/17,19918631.0,8.45,8.49,8.49,8.38
30/10/17,15085941.0,8.49,8.48,8.53,8.46
02/11/17,7867723.0,8.45,8.47,8.5,8.42
03/11/17,40699434.0,8.47,8.33,8.47,8.2
06/11/17,37481156.0,8.2,8.3,8.3,8.09
07/11/17,34365871.0,8.26,8.2,8.31,8.0
08/11/17,14001291.0,8.2,8.15,8.21,8.1
09/11/17,30434166.0,8.11,8.3,8.35,8.04
10/11/17,75707183.0,8.35,8.48,8.66,8.35
13/11/17,8788540.0,8.48,8.23,8.48,8.22
14/11/17,13689658.0,8.2,8.25,8.45,8.2
15/11/17,10569994.0,8.25,8.11,8.3,8.11
16/11/17,25008690.0,8.2,8.1,8.23,8.02
17/11/17,42486382.0,8.25,8.18,8.25,8.12
20/11/17,22660491.0,8.2,8.14,8.21,8.1
21/11/17,29113331.0,8.15,8.12,8.15,8.1
22/11/17,28516394.0,8.16,8.02,8.19,8.0
23/11/17,40056361.0,8.1,8.1,8.11,8.05
24/11/17,13409128.0,8.12,8.14,8.14,8.1
27/11/17,39094104.0,8.15,8.2,8.32,8.15
28/11/17,24363696.0,8.25,8.3,8.34,8.19
29/11/17,25555269.0,8.3,8.25,8.32,8.18
01/12/17,89776373.0,8.31,8.33,8.44,8.31
04/12/17,38070292.0,8.38,8.35,8.42,8.33
05/12/17,15718849.0,8.39,8.26,8.4,8.12
06/12/17,4490600.0,8.15,8.21,8.25,8.1
07/12/17,11293841.0,8.13,8.13,8.24,8.12
08/12/17,10833828.0,8.11,8.19,8.23,8.09
11/12/17,3800033.0,8.21,8.21,8.21,8.1
12/12/17,11587819.0,8.21,8.22,8.25,8.14
13/12/17,19659528.0,8.25,8.3,8.3,8.23
14/12/17,43679410.0,8.31,8.29,8.53,8.2
15/12/17,9536652.0,8.24,8.2,8.25,8.15
18/12/17,48104761.0,8.18,8.15,8.2,8.14
19/12/17,45395129.0,8.15,8.1,8.15,8.09
20/12/17,60908187.0,8.1,8.09,8.14,8.01
21/12/17,12318640.0,8.05,8.06,8.14,8.03
22/12/17,4780898.0,8.1,8.14,8.15,8.08
27/12/17,12642791.0,8.14,8.2,8.2,8.1
28/12/17,37828328.0,8.2,8.17,8.22,8.1
29/12/17,36897740.0,8.19,8.28,8.38,8.17
03/01/18,11113296.0,8.26,8.3,8.3,8.24
04/01/18,51214617.0,8.3,8.28,8.3,8.26
05/01/18,77596221.0,8.28,8.2,8.63,8.2
08/01/18,63415115.0,8.22,8.48,8.48,8.16
09/01/18,58026874.0,8.48,8.52,8.6,8.41
10/01/18,57255929.0,8.55,8.61,8.72,8.55
11/01/18,38268980.0,8.61,8.65,8.7,8.42
12/01/18,34116783.0,8.68,8.7,8.84,8.68
15/01/18,24713622.0,8.7,8.7,8.85,8.55
16/01/18,116389048.0,8.75,9.0,9.04,8.68
17/01/18,72584695.0,9.03,8.81,9.04,8.6
18/01/18,80484056.0,8.84,8.65,8.87,8.61
19/01/18,276660158.0,8.67,9.03,9.05,8.67
22/01/18,63619387.0,9.08,9.0,9.2,8.98
23/01/18,79627193.0,9.0,9.35,9.35,8.9
24/01/18,93114138.0,9.36,9.5,9.5,9.35
