Date,Value,Open,Close,High,Low
02/12/14,108313800.0,5.95,5.95,5.95,5.95
03/12/14,1269829303.0,8.92,8.4,8.92,7.61
04/12/14,271146011.0,8.5,7.88,8.7,7.75
05/12/14,236788238.0,7.62,8.01,8.25,7.42
09/12/14,188686747.0,8.35,8.52,8.68,8.22
10/12/14,226489105.0,8.64,9.05,9.18,8.57
11/12/14,191820848.0,9.11,8.71,9.2,8.53
12/12/14,132636665.0,8.98,9.1,9.4,8.96
15/12/14,117682542.0,9.0,9.44,9.53,8.83
16/12/14,61031321.0,9.54,9.3,9.62,9.18
17/12/14,107063642.0,9.29,9.08,9.3,9.0
18/12/14,65901882.0,9.22,9.02,9.36,8.85
19/12/14,45706871.0,9.15,9.05,9.28,9.05
22/12/14,41323985.0,9.09,8.91,9.15,8.86
23/12/14,135468894.0,8.98,9.74,9.8,8.85
29/12/14,101374186.0,9.84,9.35,9.98,9.35
05/01/15,55199477.0,9.44,9.5,9.6,9.4
06/01/15,45317878.0,9.46,9.3,9.46,9.15
07/01/15,44129953.0,9.3,9.5,9.6,9.16
08/01/15,55762410.0,9.55,9.73,9.8,9.43
09/01/15,98482946.0,9.83,10.0,10.2,9.83
12/01/15,136508829.0,10.1,11.06,11.1,9.8
13/01/15,103533884.0,11.2,11.44,11.54,11.12
14/01/15,112849118.0,11.54,11.22,11.92,11.22
19/01/15,21805412.0,11.5,11.48,11.6,11.26
20/01/15,96064830.0,11.6,11.62,11.9,11.6
21/01/15,49146614.0,11.8,11.62,11.86,11.4
22/01/15,35477268.0,11.64,11.48,11.74,11.38
23/01/15,170367838.0,11.58,12.14,12.26,11.58
26/01/15,126522978.0,12.2,12.06,12.66,11.88
27/01/15,100607254.0,12.1,11.7,12.14,11.68
28/01/15,96516668.0,11.6,12.4,12.5,11.6
29/01/15,157531258.0,12.44,12.3,12.7,11.9
30/01/15,59544074.0,12.36,12.28,12.6,12.18
02/02/15,41328454.0,12.44,12.44,12.5,12.02
03/02/15,54553472.0,12.44,12.42,12.66,12.36
04/02/15,110639324.0,12.46,12.6,12.88,12.44
05/02/15,65525900.0,12.74,12.26,12.74,12.18
06/02/15,19573566.0,12.3,12.54,12.6,12.3
09/02/15,214588670.0,12.58,11.5,12.68,11.28
10/02/15,95509400.0,11.54,12.0,12.08,11.54
11/02/15,44055646.0,12.04,12.0,12.26,11.76
12/02/15,12410344.0,12.0,12.0,12.16,11.9
13/02/15,25863842.0,12.14,12.2,12.3,12.1
16/02/15,9462086.0,12.2,12.0,12.24,11.86
17/02/15,45492190.0,12.0,11.78,12.0,11.76
18/02/15,71652622.0,11.68,11.46,11.68,11.18
