Date,Value,Open,Close,High,Low
03/08/09,3042300.0,0.29,0.28,0.29,0.28
04/08/09,1202300.0,0.28,0.27,0.28,0.27
06/08/09,250200.0,0.27,0.26,0.27,0.26
07/08/09,1431100.0,0.27,0.27,0.28,0.26
10/08/09,275800.0,0.26,0.26,0.27,0.26
11/08/09,756900.0,0.26,0.27,0.27,0.26
12/08/09,1009600.0,0.27,0.27,0.27,0.26
13/08/09,1141400.0,0.26,0.26,0.26,0.26
14/08/09,842500.0,0.26,0.25,0.27,0.25
17/08/09,465800.0,0.25,0.245,0.25,0.24
18/08/09,317600.0,0.25,0.25,0.26,0.25
19/08/09,2979400.0,0.26,0.26,0.28,0.25
20/08/09,591100.0,0.26,0.25,0.26,0.25
24/08/09,270000.0,0.25,0.25,0.25,0.25
25/08/09,652500.0,0.25,0.25,0.25,0.25
26/08/09,422700.0,0.25,0.25,0.26,0.245
03/09/09,3147700.0,0.25,0.27,0.27,0.245
04/09/09,738400.0,0.26,0.26,0.26,0.26
16/09/09,9600.0,0.24,0.24,0.24,0.24
17/09/09,267400.0,0.24,0.24,0.25,0.24
18/09/09,458300.0,0.24,0.235,0.24,0.235
22/09/09,314900.0,0.235,0.235,0.235,0.235
23/09/09,96350.0,0.245,0.235,0.245,0.23
30/09/09,46900.0,0.225,0.215,0.225,0.21
01/10/09,98800.0,0.21,0.215,0.215,0.21
02/10/09,178400.0,0.205,0.21,0.21,0.205
05/10/09,191150.0,0.21,0.21,0.215,0.21
06/10/09,52550.0,0.215,0.21,0.215,0.21
07/10/09,50400.0,0.21,0.21,0.21,0.21
08/10/09,405800.0,0.21,0.225,0.235,0.21
09/10/09,93500.0,0.23,0.23,0.235,0.225
12/10/09,293150.0,0.24,0.225,0.24,0.225
13/10/09,261250.0,0.235,0.22,0.235,0.22
14/10/09,101700.0,0.22,0.22,0.225,0.22
15/10/09,597800.0,0.225,0.22,0.225,0.22
16/10/09,2807550.0,0.22,0.23,0.245,0.22
