Date,Value,Open,Close,High,Low
06/08/09,281850.0,2.95,3.0,3.0,2.95
07/08/09,762500.0,3.05,3.05,3.05,3.05
10/08/09,846000.0,3.0,3.0,3.0,3.0
11/08/09,198000.0,3.0,3.0,3.0,3.0
13/08/09,552550.0,3.05,3.3,3.3,3.05
18/08/09,315000.0,3.15,3.15,3.15,3.15
19/08/09,630000.0,3.15,3.15,3.15,3.15
20/08/09,18900.0,3.15,3.15,3.15,3.15
24/08/09,3150.0,3.15,3.15,3.15,3.15
25/08/09,1223750.0,3.2,3.4,3.4,3.15
26/08/09,984950.0,3.25,3.4,3.4,3.25
04/09/09,812600.0,3.4,3.4,3.4,3.4
30/09/09,31000.0,3.1,3.1,3.1,3.1
05/10/09,40800.0,3.2,3.1,3.2,3.1
09/10/09,1432200.0,3.1,3.1,3.1,3.1
12/10/09,15500.0,3.1,3.1,3.1,3.1
13/10/09,34100.0,3.1,3.1,3.1,3.1
14/10/09,96100.0,3.1,3.1,3.1,3.1
15/10/09,424700.0,3.1,3.1,3.1,3.1
16/10/09,49600.0,3.1,3.1,3.1,3.1
20/10/09,24800.0,3.1,3.1,3.1,3.1
22/10/09,34100.0,3.1,3.1,3.1,3.1
23/10/09,1069500.0,3.1,3.1,3.1,3.1
28/10/09,465000.0,3.1,3.1,3.1,3.1
18/12/09,162500.0,3.25,3.25,3.25,3.25
22/12/09,32500.0,3.25,3.25,3.25,3.25
23/12/09,130000.0,3.25,3.25,3.25,3.25
05/01/10,214500.0,3.3,3.3,3.3,3.3
06/01/10,351100.0,3.35,3.4,3.4,3.35
08/01/10,1337350.0,3.4,3.5,3.5,3.4
11/01/10,720000.0,3.6,3.6,3.6,3.6
12/01/10,39600.0,3.6,3.6,3.6,3.6
13/01/10,10800.0,3.6,3.6,3.6,3.6
14/01/10,350000.0,3.5,3.5,3.5,3.5
19/01/10,41400.0,3.45,3.45,3.45,3.45
22/01/10,10650.0,3.55,3.55,3.55,3.55
27/01/10,1035000.0,3.45,3.45,3.45,3.45
03/02/10,115850.0,3.45,3.55,3.55,3.45
05/02/10,772800.0,3.45,3.45,3.45,3.45
09/02/10,189750.0,3.45,3.45,3.45,3.45
10/02/10,386400.0,3.45,3.45,3.45,3.45
11/02/10,1207500.0,3.45,3.45,3.45,3.45
08/03/10,204800.0,3.55,3.55,3.6,3.55
16/03/10,71000.0,3.55,3.55,3.55,3.55
31/03/10,21300.0,3.6,3.5,3.6,3.5
14/05/10,91000.0,3.5,3.5,3.5,3.5
17/05/10,18000.0,3.6,3.6,3.6,3.6
18/05/10,61200.0,3.6,3.6,3.6,3.6
19/05/10,18000.0,3.6,3.6,3.6,3.6
21/05/10,3050.0,3.05,3.05,3.05,3.05
